-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62455.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62485.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 50, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62485.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 53, 50, 48, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62505.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 50, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62505.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 50, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62505.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 50, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62505.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 50, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62505.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 50, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62505.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 50, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62505.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 50, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62505.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 50, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62505.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 50, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62505.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 50, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62505.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 50, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62505.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 50, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62505.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 50, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62505.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 50, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62505.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 50, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
-62505.0 [60, 60, 62, 62, 64, 52, 53, 53, 55, 55, 53, 53, 52, 52, 52, 52, 50, 50, 50, 50, 48, 48, 52, 52, 53, 53, 53, 53, 52, 52, 52, 52, 53, 53, 52, 52, 50, 50, 52, 52, 53, 53, 52, 52, 50, 50, 50, 50, 52, 50, 50, 47, 45, 45, 45, 45, 47, 47, 48, 48, 50, 50, 50, 50, 48]
